City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kununurra,-15.7667,128.7333,35.99,36,75,1.54,AU,1727245656
1,prince albert,53.2001,-105.7677,8.97,87,20,1.54,CA,1727245688
2,vila franca do campo,37.7167,-25.4333,23.23,86,65,7.64,PT,1727245689
3,la ronge,55.1001,-105.2842,13.14,71,0,3.6,CA,1727245690
4,stanley,54.868,-1.6985,5.01,94,75,1.54,GB,1727245691
5,timmins,48.4669,-81.3331,14.9,94,100,2.57,CA,1727245692
6,bandon,51.7469,-8.7425,10.77,98,100,2.34,IE,1727245693
7,gizo,-8.103,156.8419,28.46,73,63,1.3,SB,1727245694
8,ust-nera,64.5667,143.2,2.83,73,91,4.26,RU,1727245585
9,alofi,-19.0595,-169.9187,22.94,78,75,3.09,NU,1727245696
10,danville,36.586,-79.395,20.21,97,100,1.54,US,1727245698
11,vilyuchinsk,52.9306,158.4028,14.15,70,98,4.57,RU,1727245699
12,kavaratti,10.5669,72.642,27.06,86,90,7.56,IN,1727245700
13,zemio,5.0314,25.1361,20.69,98,100,1.2,CF,1727245701
14,port-aux-francais,-49.35,70.2167,2.6,80,72,13.77,TF,1727245702
15,banda aceh,5.5577,95.3222,30.54,65,84,3.93,ID,1727245704
16,brisas de zicatela,15.8369,-97.0419,22.97,95,100,2.42,MX,1727245705
17,puerto armuelles,8.2833,-82.8667,24.49,91,100,2.24,PA,1727245706
18,xilin hot,43.9667,116.0333,15.35,43,0,1.34,CN,1727245708
19,abepura,-2.6333,140.5833,23.45,100,75,1.03,ID,1727245709
20,talnakh,69.4865,88.3972,4.83,81,96,3.1,RU,1727245710
21,keflavik,64.0049,-22.5624,3.24,81,40,8.23,IS,1727245711
22,nar'yan-mar,67.6713,53.087,3.2,61,85,2.74,RU,1727245712
23,grytviken,-54.2811,-36.5092,0.22,97,100,5.69,GS,1727245713
24,kataba,8.4604,-0.7732,23.8,95,82,1.38,GH,1727245714
25,avarua,-21.2078,-159.775,23.03,78,27,3.6,CK,1727245715
26,margaret river,-33.95,115.0667,17.29,44,40,5.12,AU,1727245547
27,zaozersk,69.4005,32.4476,7.47,97,100,2.77,RU,1727245718
28,esperanza,19.5847,-70.9849,21.83,98,15,2.27,DO,1727245719
29,west island,-12.1568,96.8225,29.99,74,40,4.63,CC,1727245573
30,waitangi,-43.9535,-176.5597,7.68,71,19,5.81,NZ,1727245722
31,belomorsk,64.5232,34.7668,13.08,70,100,4.69,RU,1727245723
32,iqaluit,63.7506,-68.5145,4.85,86,100,0.0,CA,1727245489
33,taltal,-25.4,-70.4833,14.16,77,2,0.63,CL,1727245725
34,turkmenbasy,40.0222,52.9552,23.43,64,75,8.75,TM,1727245726
35,noosa heads,-26.3833,153.15,21.47,65,65,6.83,AU,1727245727
36,adamstown,-25.066,-130.1015,19.8,71,98,7.91,PN,1727245652
37,cafayate,-26.073,-65.9761,16.35,61,0,1.17,AR,1727245730
38,ushuaia,-54.8,-68.3,1.81,64,75,1.54,AR,1727245636
39,choibalsan,48.0667,114.5,20.23,23,13,3.86,MN,1727245732
40,papatowai,-46.5619,169.4708,11.35,58,92,2.92,NZ,1727245733
41,soroti,1.7146,33.6111,24.04,59,36,1.14,UG,1727245734
42,atafu village,-8.5421,-172.5159,28.38,77,81,4.38,TK,1727245501
43,prince rupert,54.3161,-130.3201,10.83,87,100,7.2,CA,1727245736
44,valparaiso,-33.0393,-71.6273,9.8,71,0,2.06,CL,1727245737
45,la passe,45.5549,-0.8967,16.79,83,100,5.26,FR,1727245738
46,bethel,41.3712,-73.414,15.05,81,100,2.57,US,1727245672
47,crane,31.3974,-102.3501,25.74,53,3,4.03,US,1727245741
48,port lincoln,-34.7333,135.8667,12.93,54,99,9.67,AU,1727245635
49,la tuque,47.4334,-72.7824,13.14,71,100,2.06,CA,1727245743
50,puerto natales,-51.7236,-72.4875,3.01,73,77,8.5,CL,1727245744
51,hithadhoo,-0.6,73.0833,28.21,75,72,6.95,MV,1727245745
52,nuku'alofa,-21.1333,-175.2,21.19,94,75,2.06,TO,1727245746
53,kodiak,57.79,-152.4072,7.73,66,100,0.0,US,1727245728
54,edinburgh of the seven seas,-37.0676,-12.3116,13.15,71,39,6.13,SH,1727245748
55,korsakov,46.6328,142.7813,16.91,76,99,5.16,RU,1727245749
56,weno,7.4515,151.8468,30.97,79,75,3.09,FM,1727245750
57,san antonio de pale,-1.4014,5.6325,24.36,83,97,4.39,GQ,1727245753
58,albany,42.6001,-73.9662,14.7,68,99,0.89,US,1727245663
59,namibe,-15.1961,12.1522,19.17,84,89,2.06,AO,1727245755
60,marka,1.7159,44.7717,27.23,71,30,7.67,SO,1727245757
61,ulety,51.3572,112.4849,20.33,24,22,2.48,RU,1727245758
62,hermanus,-34.4187,19.2345,13.22,86,100,2.12,ZA,1727245567
63,katsuura,35.1333,140.3,22.84,92,100,10.99,JP,1727245760
64,susuman,62.7833,148.1667,4.9,42,44,5.26,RU,1727245763
65,cill airne,52.05,-9.5167,10.03,100,99,3.6,IE,1727245764
66,sangkhla buri,15.1555,98.4536,30.06,55,96,1.16,TH,1727245765
67,isafjordur,66.0755,-23.124,0.3,78,98,4.03,IS,1727245559
68,tegueste,28.5167,-16.3167,17.21,90,20,2.06,ES,1727245767
69,vorgashor,67.5833,63.95,1.43,76,99,9.35,RU,1727245724
70,kwolla,8.9333,9.2833,22.23,92,53,0.87,NG,1727245769
71,darasun,51.6667,114.0,21.12,23,20,4.09,RU,1727245771
72,pandan,14.0453,124.1694,30.54,69,88,3.99,PH,1727245772
73,punta arenas,-53.15,-70.9167,3.06,75,40,13.38,CL,1727245672
74,linxia chengguanzhen,35.6003,103.2064,20.68,47,0,1.63,CN,1727245774
